[09:21:15] [main/INFO]: Loading Minecraft 1.20.1 with Fabric Loader 0.16.3
[09:21:15] [main/INFO]: Loading 4 mods:
	- fabricloader 0.16.3
	   \-- mixinextras 0.4.1
	- java 17
	- minecraft 1.20.1
[09:21:15] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.7 Source=file:/workspaces/mcx/servidor_minecraft/libraries/net/fabricmc/sponge-mixin/0.15.2+mixin.0.8.7/sponge-mixin-0.15.2+mixin.0.8.7.jar Service=Knot/Fabric Env=SERVER
[09:21:20] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[09:21:22] [main/INFO]: Loaded 7 recipes
[09:21:22] [main/INFO]: Loaded 1271 advancements
[09:21:22] [Server thread/INFO]: Starting minecraft server version 1.20.1
[09:21:22] [Server thread/INFO]: Loading properties
[09:21:22] [Server thread/INFO]: Default game type: SURVIVAL
[09:21:22] [Server thread/INFO]: Generating keypair
[09:21:22] [Server thread/INFO]: Starting Minecraft server on *:25565
[09:21:22] [Server thread/INFO]: Using epoll channel type
[09:21:23] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[09:21:23] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[09:21:23] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[09:21:23] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[09:21:23] [Server thread/INFO]: Preparing level "world"
[09:21:28] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[09:21:29] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[09:21:29] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[09:21:29] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[09:21:30] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:21:30] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[09:21:31] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:21:31] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[09:21:32] [Worker-Main-2/INFO]: Preparing spawn area: 2%
[09:21:32] [Worker-Main-3/INFO]: Preparing spawn area: 3%
[09:21:33] [Worker-Main-3/INFO]: Preparing spawn area: 4%
[09:21:33] [Worker-Main-2/INFO]: Preparing spawn area: 6%
[09:21:34] [Worker-Main-3/INFO]: Preparing spawn area: 8%
[09:21:34] [Worker-Main-3/INFO]: Preparing spawn area: 10%
[09:21:35] [Worker-Main-3/INFO]: Preparing spawn area: 12%
[09:21:35] [Worker-Main-1/INFO]: Preparing spawn area: 14%
[09:21:36] [Worker-Main-1/INFO]: Preparing spawn area: 15%
[09:21:36] [Worker-Main-3/INFO]: Preparing spawn area: 18%
[09:21:37] [Worker-Main-3/INFO]: Preparing spawn area: 20%
[09:21:37] [Worker-Main-1/INFO]: Preparing spawn area: 23%
[09:21:38] [Worker-Main-1/INFO]: Preparing spawn area: 26%
[09:21:38] [Worker-Main-1/INFO]: Preparing spawn area: 27%
[09:21:39] [Worker-Main-2/INFO]: Preparing spawn area: 30%
[09:21:39] [Worker-Main-2/INFO]: Preparing spawn area: 33%
[09:21:40] [Worker-Main-3/INFO]: Preparing spawn area: 36%
[09:21:40] [Worker-Main-2/INFO]: Preparing spawn area: 38%
[09:21:41] [Worker-Main-1/INFO]: Preparing spawn area: 41%
[09:21:41] [Worker-Main-2/INFO]: Preparing spawn area: 43%
[09:21:42] [Worker-Main-1/INFO]: Preparing spawn area: 45%
[09:21:42] [Worker-Main-3/INFO]: Preparing spawn area: 48%
[09:21:43] [Worker-Main-2/INFO]: Preparing spawn area: 51%
[09:21:43] [Worker-Main-2/INFO]: Preparing spawn area: 54%
[09:21:44] [Worker-Main-2/INFO]: Preparing spawn area: 57%
[09:21:44] [Worker-Main-3/INFO]: Preparing spawn area: 61%
[09:21:45] [Worker-Main-2/INFO]: Preparing spawn area: 64%
[09:21:45] [Worker-Main-2/INFO]: Preparing spawn area: 68%
[09:21:46] [Worker-Main-1/INFO]: Preparing spawn area: 69%
[09:21:46] [Worker-Main-1/INFO]: Preparing spawn area: 73%
[09:21:47] [Worker-Main-2/INFO]: Preparing spawn area: 77%
[09:21:47] [Worker-Main-2/INFO]: Preparing spawn area: 80%
[09:21:48] [Worker-Main-1/INFO]: Preparing spawn area: 83%
[09:21:48] [Worker-Main-3/INFO]: Preparing spawn area: 85%
[09:21:49] [Worker-Main-2/INFO]: Preparing spawn area: 89%
[09:21:49] [Worker-Main-3/INFO]: Preparing spawn area: 92%
[09:21:50] [Worker-Main-3/INFO]: Preparing spawn area: 95%
[09:21:50] [Server thread/INFO]: Time elapsed: 21998 ms
[09:21:50] [Server thread/INFO]: Done (27.794s)! For help, type "help"
